Interaction type,Description,Subject,DDI type
16,#Drug1 may increase the central nervous system depressant (CNS depressant) activities of #Drug2.,2,DDI type 54
79,#Drug1 may increase the central nervous system depressant (CNS depressant) and hypertensive activities of #Drug2.,1,DDI type 55
39,#Drug1 may increase the constipating activities of #Drug2.,1,DDI type 56
28,#Drug1 may increase the dermatologic adverse activities of #Drug2.,2,DDI type 57
74,#Drug1 may increase the fluid retaining activities of #Drug2.,1,DDI type 58
51,#Drug1 may increase the hypercalcemic activities of #Drug2.,2,DDI type 59
78,#Drug1 may increase the hyperglycemic activities of #Drug2.,2,DDI type 60
68,#Drug1 may increase the hyperkalemic activities of #Drug2.,2,DDI type 61
71,#Drug1 may increase the hypertensive activities of #Drug2.,2,DDI type 62
24,#Drug1 may increase the hypocalcemic activities of #Drug2.,2,DDI type 63
9,#Drug1 may increase the hypoglycemic activities of #Drug2.,2,DDI type 64
83,#Drug1 may increase the hypokalemic activities of #Drug2.,1,DDI type 65
55,#Drug1 may increase the hyponatremic activities of #Drug2.,2,DDI type 66
60,#Drug1 may increase the hypotensive activities of #Drug2.,1,DDI type 67
41,#Drug1 may increase the hypotensive and central nervous system depressant (CNS depressant) activities of #Drug2.,1,DDI type 68
34,#Drug1 may increase the immunosuppressive activities of #Drug2.,1,DDI type 69
63,#Drug1 may increase the myelosuppressive activities of #Drug2.,2,DDI type 70
48,#Drug1 may increase the myopathic rhabdomyolysis activities of #Drug2.,2,DDI type 71
27,#Drug1 may increase the neuroexcitatory activities of #Drug2.,1,DDI type 72
21,#Drug1 may increase the neuromuscular blocking activities of #Drug2.,2,DDI type 73
30,#Drug1 may increase the orthostatic hypotensive activities of #Drug2.,1,DDI type 74
1,#Drug1 may increase the photosensitizing activities of #Drug2.,1,DDI type 75
20,#Drug1 may increase the QTc-prolonging activities of #Drug2.,2,DDI type 76
40,#Drug1 may increase the respiratory depressant activities of #Drug2.,2,DDI type 77
32,#Drug1 may increase the sedative activities of #Drug2.,1,DDI type 78
64,#Drug1 may increase the serotonergic activities of #Drug2.,2,DDI type 79
23,#Drug1 may increase the stimulatory activities of #Drug2.,2,DDI type 80
85,#Drug1 may increase the tachycardic activities of #Drug2.,1,DDI type 81
81,#Drug1 may increase the thrombogenic activities of #Drug2.,2,DDI type 82
59,#Drug1 may increase the ulcerogenic activities of #Drug2.,1,DDI type 83
19,#Drug1 may increase the vasoconstricting activities of #Drug2.,2,DDI type 84
38,#Drug1 may increase the vasodilatory activities of #Drug2.,2,DDI type 85
84,#Drug1 may increase the vasopressor activities of #Drug2.,1,DDI type 86
